Title,Overview,Release_Date,Popularity,Poster_Path,Vote_Average,Vote_Count,Original_Language
Spirited Away,A girl enters the spirit world.,2001-07-20,85.5,/img/popular/popular-1.svg,8.6,12000,ja
Your Name,Two teenagers share a profound connection.,2016-08-26,78.2,/img/popular/popular-1.svg,8.4,9500,ja
Akira,A secret military project endangers Neo-Tokyo.,1988-07-16,72.0,/img/popular/popular-1.svg,8.0,8000,ja
Inception,A thief steals secrets through dreams.,2010-07-16,90.1,/img/popular/popular-1.svg,8.8,15000,en
The Matrix,A hacker learns about the true nature of reality.,1999-03-31,88.0,/img/popular/popular-1.svg,8.7,14000,en
Parasite,A poor family schemes to become employed by a wealthy family.,2019-05-30,82.3,/img/popular/popular-1.svg,8.5,11000,ko
Amélie,A shy waitress changes lives around her.,2001-04-25,70.5,/img/popular/popular-1.svg,8.3,7000,fr
Pan's Labyrinth,A young girl escapes into a fantasy world.,2006-10-11,68.0,/img/popular/popular-1.svg,8.2,6500,es
Demon Slayer,Tanjiro fights demons to save his sister.,2020-10-16,75.0,/img/popular/popular-1.svg,8.1,9000,ja
Interstellar,Explorers travel through a wormhole in space.,2014-11-07,86.0,/img/popular/popular-1.svg,8.6,13000,en
Coco,A boy visits the Land of the Dead.,2017-10-27,74.0,/img/popular/popular-1.svg,8.4,8500,es
Oldboy,A man seeks revenge after years of imprisonment.,2003-11-21,71.0,/img/popular/popular-1.svg,8.3,7200,ko
